occurrence_id,country,latitude,longitude,prefix_text
2017946637,AU,-31.8611,115.7542,MGYA00285555
2019484206,AU,-31.8611,115.7542,MGYA00289445
2017870408,AU,-31.8634,115.7076,MGYA00285391
2019349231,AU,-31.8634,115.7076,MGYA00289215
2025559757,US,36.962,-122.024,MGYA00184067
2016709100,AU,-33.9914,151.2334,MGYA00285084
2018125858,AU,-34.0729,151.1521,MGYA00285982
2019162884,AU,-34.0729,151.1521,MGYA00288790
2019890843,AU,-33.9914,151.2334,MGYA00290125
2440433151,GB,50.22,-4.18,MGYA00357000
2022817003,PA,8.9268,-79.554,MGYA00206049
2022830602,PA,9.3508,-79.9473,MGYA00206054
2022838321,PA,8.8849,-79.5969,MGYA00206059
2022840984,PA,8.8849,-79.5969,MGYA00206060
2022853985,PA,9.3508,-79.9473,MGYA00206065
2022848428,PA,8.8876,-79.6568,MGYA00206064
2440484869,KR,36.8208,126.1856,MGYA00360219
2440495010,KR,36.8208,126.1856,MGYA00360222
2026447226,JP,44.337,143.3808,MGYA00175918
2026452774,JP,44.337,143.3808,MGYA00175927
2026452975,JP,44.337,143.3808,MGYA00175929
2026455622,JP,44.337,143.3808,MGYA00175931
3910711917,,,,MGYA00591676
3910711932,,,,MGYA00591717
3910703982,,,,MGYA00591957
3911021541,,,,MGYA00592669
